text,drug,effect,indexes,label
Acute hepatic failure is a rare and potentially lethal complication of propylthiouracil (PTU) use for hyperthyroidism.,propylthiouracil,hyperthyroidism,0,0
Possible heart failure exacerbation associated with rosiglitazone: case report and literature review.,rosiglitazone,heart failure exacerbation,"{'drug': {'start_char': array([52], dtype=int32), 'end_char': array([65], dtype=int32)}, 'effect': {'start_char': array([9], dtype=int32), 'end_char': array([35], dtype=int32)}}",1
"A 45-year-old woman with steroid-dependent Crohn's colitis, successfully managed with maintenance infliximab infusions and methotrexate, developed a lupus-like syndrome eight months after her initial infusion.",infliximab,colitis,0,0
Reactivation of cytomegalovirus probably followed the treatment of Wegener's granulomatosis with corticosteroids and azathioprine.,corticosteroids,granulomatosis,0,0
"We report a case of severe anemia, which responded well to steroid therapy, in a patient receiving IL-2 plus IFN-alpha for metastatic renal cell carcinoma.",steroid,carcinoma,0,0
We report a case of Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) secondary to trimethoprim-sulfamethoxazole (TMP-Sx) therapy for presumed community-associated methicillin-resistant Staphylococcus aureus (CA-MRSA) infection.,methicillin,infection,0,0
"CASE REPORT: Soon after initiation of amiodarone HCl (200 mg/day), a 76-year-old man came to us with symptoms of visual ""shining,"" glare, color vision anomalies, and gradually decreased vision.",amiodarone HCl,glare,"{'drug': {'start_char': array([38], dtype=int32), 'end_char': array([52], dtype=int32)}, 'effect': {'start_char': array([131], dtype=int32), 'end_char': array([136], dtype=int32)}}",1
CONCLUSIONS: The risk of drug-induced rhabdomyolysis due to the potential interaction between lovastatin and azithromycin or clarithromycin should be considered before the concomitant use of these agents.,clarithromycin,interaction,0,0
Autopsy evidence of herpesvirus infection was found in visceral organs of four leukemic patients who had received large doses of cytarabine (cytosine arabinoside; Ara-C) shortly before their death.,cytarabine,death,0,0
"In this report, one patient who developed gangrene after bleomycin and vincristine/vinblastine chemotherapy for AIDS-related Kaposi's sarcoma and another HIV-infected patient who exhibited symptoms of severe Raynaud's phenomenon related to the same regimen are presented.",bleomycin,sarcoma,0,0
Transtentorial herniation caused by an intracranial mass lesion following high-dose methotrexate.,methotrexate,intracranial mass lesion,"{'drug': {'start_char': array([84], dtype=int32), 'end_char': array([96], dtype=int32)}, 'effect': {'start_char': array([39], dtype=int32), 'end_char': array([63], dtype=int32)}}",1
OBJECTIVE: To report a case of neuroleptic malignant syndrome (NMS) associated with fluphenazine in a schizophrenic patient and review the literature related to this condition.,fluphenazine,neuroleptic malignant syndrome,"{'drug': {'start_char': array([84], dtype=int32), 'end_char': array([96], dtype=int32)}, 'effect': {'start_char': array([31], dtype=int32), 'end_char': array([61], dtype=int32)}}",1
Quetiapine-induced leucopenia and thrombocytopenia.,Quetiapine,thrombocytopenia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([10], dtype=int32)}, 'effect': {'start_char': array([34], dtype=int32), 'end_char': array([50], dtype=int32)}}",1
Tumor lysis syndrome after transcatheter arterial infusion of cisplatin and embolization therapy for liver metastases of melanoma.,cisplatin,Tumor lysis syndrome,"{'drug': {'start_char': array([62], dtype=int32), 'end_char': array([71], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([20], dtype=int32)}}",1
"A dapsone hypersensitivity syndrome, consisting of fever, headache, nausea, vomiting, lymphadenopathy, hepatitis, hemolysis, leukopenia, and mononucleosis, has been described in patients treated with the drug for leprosy.",dapsone,leukopenia,"{'drug': {'start_char': array([2], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([125], dtype=int32), 'end_char': array([135], dtype=int32)}}",1
"A 62-year-old Indian with diabetic nephropathy controlled with metformin, developed miliary tuberculosis for which he was treated with rifampicin, isoniazid and ethambutol.",rifampicin,nephropathy,0,0
We present a case of ethylenediamine-induced delayed hypersensitivity reaction in a 46-year-old woman who received parenteral aminophylline for an acute asthma exacerbation.,ethylenediamine,delayed hypersensitivity reaction,"{'drug': {'start_char': array([21], dtype=int32), 'end_char': array([36], dtype=int32)}, 'effect': {'start_char': array([45], dtype=int32), 'end_char': array([78], dtype=int32)}}",1
"A patient suffering from heparin-associated thrombocytopenia (HAT), recurrent arteriothromboses, and acute renal failure after treatment with standard heparin is described.",heparin,thrombocytopenia,"{'drug': {'start_char': array([ 25, 151], dtype=int32), 'end_char': array([ 32, 158], dtype=int32)}, 'effect': {'start_char': array([44], dtype=int32), 'end_char': array([60], dtype=int32)}}",1
We describe a patient with extranodal non-Hodgkin lymphoma who developed systemic candidiasis after treatment with a cyclophosphamide-based chemotherapy regimen.,cyclophosphamide,systemic candidiasis,"{'drug': {'start_char': array([117], dtype=int32), 'end_char': array([133], dtype=int32)}, 'effect': {'start_char': array([73], dtype=int32), 'end_char': array([93], dtype=int32)}}",1
Type 1 diabetes mellitus provoked by peginterferon alpha-2b plus ribavirin treatment for chronic hepatitis C.,ribavirin,hepatitis,0,0
Carboplatin hypersensitivity induced by low-dose paclitaxel/carboplatin in multiple platinum-treated patients with recurrent ovarian cancer.,carboplatin,hypersensitivity,"{'drug': {'start_char': array([60], dtype=int32), 'end_char': array([71], dtype=int32)}, 'effect': {'start_char': array([12], dtype=int32), 'end_char': array([28], dtype=int32)}}",1
Syndrome of inappropriate secretion of ADH (SIADH) following cisplatin administration in a pulmonary adenocarcinoma patient with a malignant pleural effusion.,cisplatin,SIADH,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([70], dtype=int32)}, 'effect': {'start_char': array([44], dtype=int32), 'end_char': array([49], dtype=int32)}}",1
Taxane-induced glaucoma.,Taxane,glaucoma,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([6], dtype=int32)}, 'effect': {'start_char': array([15], dtype=int32), 'end_char': array([23], dtype=int32)}}",1
METHODS: Two patients with exudative age-related macular degeneration were treated sequentially with an intravitreal injection of bevacizumab and developed signs of severe but painless infectious endophthalmitis 2 days later.,bevacizumab,age-related macular degeneration,"{'drug': {'start_char': array([130], dtype=int32), 'end_char': array([141], dtype=int32)}, 'effect': {'start_char': array([37], dtype=int32), 'end_char': array([69], dtype=int32)}}",1
We report two new cases of sarcoidosis in two patients with hepatitis C virus infection treated with interferon alfa and ribavirin.,ribavirin,infection,0,0
"Administration of intrathecal Ara-C in the same dose over longer intervals within 3-5 days between consecutive doses resulted in mild, transient neurological symptoms (paresthesias) in only one of 30 patients so treated.",Ara-C,paresthesias,"{'drug': {'start_char': array([30], dtype=int32), 'end_char': array([35], dtype=int32)}, 'effect': {'start_char': array([168], dtype=int32), 'end_char': array([180], dtype=int32)}}",1
"Rapamycin/sirolimus-induced pneumonitis has been described previously in renal transplant recipients, and this report describes a stable heart-lung transplant recipient who developed a pulmonary infiltrate that reversed after ceasing SR therapy.",sirolimus,pneumonitis,"{'drug': {'start_char': array([10], dtype=int32), 'end_char': array([19], dtype=int32)}, 'effect': {'start_char': array([28], dtype=int32), 'end_char': array([39], dtype=int32)}}",1
Administration of pyridoxine to an infant after a long period of convulsions was followed by acute hypotonia.,pyridoxine,acute hypotonia,"{'drug': {'start_char': array([18], dtype=int32), 'end_char': array([28], dtype=int32)}, 'effect': {'start_char': array([93], dtype=int32), 'end_char': array([108], dtype=int32)}}",1
Upper gastrointestinal haemorrhage is a serious complication of aspirin and clopidogrel (dual) anti-platelet therapy with a high morbidity and mortality.,aspirin,morbidity,0,0
"Ritonavir acted as a CYP3A4 inhibitor, diminishing carbamazepine metabolism and provoking an increase in serum levels and clinical toxicity.",carbamazepine,toxicity,0,0
"Focal glomerulonephritis and interstitial nephritis in methicillin-treated, heroin-related infective endocarditis.",heroin,glomerulonephritis,0,0
"While on a maximal dose of phenylephrine she developed prominent positive U waves, which disappeared with the cessation of the drug.",phenylephrine,positive U waves,"{'drug': {'start_char': array([27], dtype=int32), 'end_char': array([40], dtype=int32)}, 'effect': {'start_char': array([65], dtype=int32), 'end_char': array([81], dtype=int32)}}",1
PURPOSE: We evaluated the in vitro hemodialysis ratio and subsequent toxicity and pharmacokinetics of ifosfamide in an anephric patient with Wilms' tumor.,ifosfamide,toxicity,0,0
Toxic hepatitis due to combination therapy with methotrexate and etretinate in psoriasis.,etretinate,psoriasis,0,0
This is a case report of fatal cryptococcal meningitis in a child with systemic lupus erythematosus being treated with prednisolone and azathioprine.,azathioprine,fatal,0,0
"After therapy for diabetic coma with insulin (containing the preservative cresol) and electrolyte solutions was started, the patient complained of increasing myalgia, developed a high fever and respiratory and metabolic acidosis and lost consciousness.",insulin,coma,0,0
Treatment of lithium-induced diabetes insipidus with amiloride.,lithium,diabetes insipidus,"{'drug': {'start_char': array([13], dtype=int32), 'end_char': array([20], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([47], dtype=int32)}}",1
Marked QT prolongation and torsades de pointes secondary to acute ischemia in an elderly man taking dofetilide for atrial fibrillation: a cautionary tale.,dofetilide,acute ischemia,"{'drug': {'start_char': array([100], dtype=int32), 'end_char': array([110], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([74], dtype=int32)}}",1
We report 5 patients (3 patients with chronic hepatitis C treated with pegylated interferon alfa-2b in association with oral ribavirin and two patients with chronic myelocytic leukemia) who developed local cutaneous reactions at sites of injection after the administration of weekly subcutaneous injections of pegylated interferon alfa-2b at different doses.,ribavirin,hepatitis,0,0
"Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.",5-fluorouracil,bilateral patchy pulmonary infiltrates,"{'drug': {'start_char': array([147], dtype=int32), 'end_char': array([161], dtype=int32)}, 'effect': {'start_char': array([34], dtype=int32), 'end_char': array([72], dtype=int32)}}",1
